,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,bambous virieux,-20.3428,57.7575,72.21,68,75,17.27,MU,1627791762
140,snina,48.9886,22.151,68.25,99,0,2.13,SK,1627791762
141,vostok,46.4856,135.8833,85.75,44,78,2.53,RU,1627791762
142,mao,39.8885,4.2658,68.56,88,40,11.5,ES,1627791763
143,margate,51.3813,1.3862,60.51,92,58,1.01,GB,1627791763
144,longyearbyen,78.2186,15.6401,44.44,70,20,13.8,SJ,1627791764
145,ust-tsilma,65.441,52.1498,57.02,98,100,5.55,RU,1627791764
146,bijapur,16.8333,75.7,75.29,74,100,20.96,IN,1627791765
147,zaragoza,41.6561,-0.8773,60.03,59,0,7.0,ES,1627791546
148,mehamn,71.0357,27.8492,46.81,96,100,5.08,NO,1627791765
149,klaksvik,62.2266,-6.589,45.52,80,100,11.74,FO,1627791766
150,ballina,-28.8667,153.5667,84.78,53,0,9.44,AU,1627791766
151,broken hill,-31.95,141.4333,54.36,61,76,7.49,AU,1627791766
152,cabo san lucas,22.8909,-109.9124,85.6,78,83,0.25,MX,1627791486
153,caxito,-8.5785,13.6643,70.45,94,29,1.92,AO,1627791767
154,new norfolk,-42.7826,147.0587,49.75,52,34,9.13,AU,1627791767
155,zyryanka,65.75,150.85,39.29,96,100,20.92,RU,1627791768
156,lompoc,34.6391,-120.4579,66.11,86,1,6.91,US,1627791768
157,puerto ayora,-0.7393,-90.3518,71.55,92,5,7.0,EC,1627791769
158,codrington,-38.2667,141.9667,53.28,74,38,13.18,AU,1627791770
159,idil,37.3411,41.8895,87.58,24,91,3.47,TR,1627791770
160,ketchikan,55.3422,-131.6461,63.07,82,1,8.05,US,1627791770
161,jiaozuo,35.2397,113.2331,92.53,48,0,7.58,CN,1627791771
162,high level,58.5169,-117.136,73.51,73,1,0.0,CA,1627791772
163,dwarka,22.2394,68.9678,82.83,81,100,24.56,IN,1627791772
164,bara,10.3744,10.7288,71.13,98,100,8.19,NG,1627791773
165,mamallapuram,12.6264,80.1722,87.85,49,99,15.12,IN,1627791774
166,saint-francois,46.4154,3.9054,58.17,94,99,0.0,FR,1627791774
167,palora,-1.7,-77.9333,63.16,94,71,1.79,EC,1627791775
168,hamilton,39.1834,-84.5333,66.38,86,1,0.0,US,1627791652
169,kununurra,-15.7667,128.7333,93.18,24,56,8.05,AU,1627791644
170,nyuksenitsa,60.4128,44.2397,57.34,96,93,7.16,RU,1627791775
171,karasburg,-28.0167,18.75,54.12,27,0,7.67,NA,1627791776
172,ribeira grande,38.5167,-28.7,70.99,85,100,8.3,PT,1627791776
173,chengde,40.9725,117.9361,77.52,66,12,4.74,CN,1627791776
